,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,005930,KR7005930003,삼성전자,KOSPI,,72900,2,-900,-1.22,73700,73700,72800,7396006,541409626000,435197147895000,5969782550,STK
1,000660,KR7000660001,SK하이닉스,KOSPI,,148100,2,-3200,-2.12,150300,151100,147500,1687699,251745514400,107817150256500,728002365,STK
2,373220,KR7373220003,LG에너지솔루션,KOSPI,,400500,1,3000,0.75,397500,401000,392000,84416,33522158500,93717000000000,234000000,STK
3,207940,KR7207940008,삼성바이오로직스,KOSPI,,816000,2,-5000,-0.61,819000,824000,815000,31889,26122985000,58077984000000,71174000,STK
4,005935,KR7005931001,삼성전자우,KOSPI,,62400,2,-100,-0.16,62800,62800,62200,422079,26379571400,51348130080000,822886700,STK
5,005380,KR7005380001,현대차,KOSPI,,241000,2,-11500,-4.55,250000,253000,241000,1134239,278910180500,50979092946000,211531506,STK
6,000270,KR7000270009,기아,KOSPI,,114600,2,-3000,-2.55,115600,118700,114200,1038918,121039040300,46074265663800,402044203,STK
7,068270,KR7068270008,셀트리온,KOSPI,,180200,2,-2200,-1.21,182500,183000,180100,234977,42549099700,39292567112400,218049762,STK
8,005490,KR7005490008,POSCO홀딩스,KOSPI,,437500,2,-7000,-1.57,443000,443000,433500,315211,137873738500,36999913125000,84571230,STK
9,051910,KR7051910008,LG화학,KOSPI,,505000,2,-3000,-0.59,507000,507000,491500,185357,92558743000,35649133215000,70592343,STK
10,035420,KR7035420009,NAVER,KOSPI,,202500,2,-1000,-0.49,203500,205500,202500,401112,81795969500,32887740285000,162408594,STK
11,028260,KR7028260008,삼성물산,KOSPI,,164500,2,-5900,-3.46,170300,171000,164000,457541,76375755400,30529829715000,185591670,STK
12,006400,KR7006400006,삼성SDI,KOSPI,,393000,2,-1500,-0.38,394000,396000,386000,150725,58844726000,27024460290000,68764530,STK
13,105560,KR7105560007,KB금융,KOSPI,,66100,2,-2700,-3.92,69000,69300,65900,825434,55473301600,26672081859200,403511072,STK
14,035720,KR7035720002,카카오,KOSPI,,58700,1,500,0.86,57900,60000,57800,1484632,87798322300,26121446406900,444999087,STK
15,247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,우량기업부,249000,1,5000,2.05,240000,252500,235000,714491,174763259000,24352534656000,97801344,KSQ
16,003670,KR7003670007,포스코퓨처엠,KOSPI,,300000,1,3500,1.18,292000,303500,286000,420207,123698655500,23238966000000,77463220,STK
17,012330,KR7012330007,현대모비스,KOSPI,,239500,2,-4500,-1.84,244000,246000,238500,193210,46918190500,22430395013000,93655094,STK
18,055550,KR7055550008,신한지주,KOSPI,,42900,2,-2150,-4.77,45100,45150,42750,1215131,53140100250,21997381305900,512759471,STK
19,032830,KR7032830002,삼성생명,KOSPI,,82700,2,-2300,-2.71,85000,85700,82100,301465,25223076900,16540000000000,200000000,STK
20,086790,KR7086790003,하나금융지주,KOSPI,,55700,2,-3200,-5.43,59500,59500,55700,1083363,62289681560,16284262508600,292356598,STK
